Id,key,name,synonyms,code,born_at,city_id,region_id,country_id,nationality_id,created_at,updated_at
127,ogu,Ogu,John Ogu|John Ugochukwu|John Ogu Ugochukwu,,1988-04-20,,,51,51,2014-10-17T00:54:06.2617990-04:00,2014-10-17T00:54:06.2617990-04:00
128,mikel,Mikel,John Obi Mikel,,1987-04-22,,,51,51,2014-10-17T00:54:06.2636390-04:00,2014-10-17T00:54:06.2636390-04:00
129,ogude,Ogude,Fegor Ogude,,1987-07-29,,,51,51,2014-10-17T00:54:06.2659470-04:00,2014-10-17T00:54:06.2659470-04:00
130,babatunde,Babatunde,Michael Babatunde,,1992-12-24,,,51,51,2014-10-17T00:54:06.2681230-04:00,2014-10-17T00:54:06.2681230-04:00
131,onazi,Onazi,Ogenyi Onazi|Ogenyi Eddy Onazi,,1992-12-25,,,51,51,2014-10-17T00:54:06.2699560-04:00,2014-10-17T00:54:06.2699560-04:00
132,eze,Eze,Emeka Eze|Emeka Christian Eze,,1992-12-22,,,51,51,2014-10-17T00:54:06.2717860-04:00,2014-10-17T00:54:06.2717860-04:00
133,mba,Mba,Sunday Mba,,1988-11-28,,,51,51,2014-10-17T00:54:06.2735780-04:00,2014-10-17T00:54:06.2735780-04:00
134,ejikeuzoenyi,Ejike Uzoenyi,,,1988-03-23,,,51,51,2014-10-17T00:54:06.2753300-04:00,2014-10-17T00:54:06.2753300-04:00
135,victormoses,Victor Moses,,,1990-12-12,,,51,51,2014-10-17T00:54:06.2770320-04:00,2014-10-17T00:54:06.2770320-04:00
136,nnamdioduamadi,Nnamdi Oduamadi,,,1990-10-17,,,51,51,2014-10-17T00:54:06.2787150-04:00,2014-10-17T00:54:06.2787150-04:00
137,joelobi,Joel Obi,,,1991-05-22,,,51,51,2014-10-17T00:54:06.2803600-04:00,2014-10-17T00:54:06.2803600-04:00
138,nosaigiebor,Nosa Igiebor,,,1990-11-09,,,51,51,2014-10-17T00:54:06.2820440-04:00,2014-10-17T00:54:06.2820440-04:00
139,reubengabriel,Reuben Gabriel,,,1990-09-25,,,51,51,2014-10-17T00:54:06.2837730-04:00,2014-10-17T00:54:06.2837730-04:00
140,ramonazeez,Ramon Azeez,,,1992-12-12,,,51,51,2014-10-17T00:54:06.2863680-04:00,2014-10-17T00:54:06.2863680-04:00
141,musa,Musa,Ahmed Musa,,1992-10-14,,,51,51,2014-10-17T00:54:06.2885140-04:00,2014-10-17T00:54:06.2885140-04:00
142,ideye,Ideye,Brown Ideye|Aide Brown Ideye,,1988-10-10,,,51,51,2014-10-17T00:54:06.2908230-04:00,2014-10-17T00:54:06.2908230-04:00
143,akpala,Akpala,Joseph Akpala|Joseph Eneojo Akpala,,1986-08-24,,,51,51,2014-10-17T00:54:06.2926260-04:00,2014-10-17T00:54:06.2926260-04:00
144,muhammed,Muhammed,Muhammad Gambo,,1988-03-10,,,51,51,2014-10-17T00:54:06.2944770-04:00,2014-10-17T00:54:06.2944770-04:00
145,ujah,Ujah,Anthony Ujah,,1990-10-14,,,51,51,2014-10-17T00:54:06.2962260-04:00,2014-10-17T00:54:06.2962260-04:00
146,oduamadi,Oduamadi,Nnamdi Oduamadi|Nnamdi Oduamadi Chidiebere,,1990-10-17,,,51,51,2014-10-17T00:54:06.2980450-04:00,2014-10-17T00:54:06.2980450-04:00
147,peterodemwingie,Peter Odemwingie,,,1981-07-15,,,51,51,2014-10-17T00:54:06.2999770-04:00,2014-10-17T00:54:06.2999770-04:00
148,victorobinna,Victor Obinna,,,1987-03-25,,,51,51,2014-10-17T00:54:06.3018530-04:00,2014-10-17T00:54:06.3018530-04:00
149,emmanuelemenike,Emmanuel Emenike,,,1987-05-10,,,51,51,2014-10-17T00:54:06.3036820-04:00,2014-10-17T00:54:06.3036820-04:00
150,sholaameobi,Shola Ameobi,,,1981-10-12,,,51,51,2014-10-17T00:54:06.3056330-04:00,2014-10-17T00:54:06.3056330-04:00
151,uchenwofor,Uche Nwofor,,,1989-02-28,,,51,51,2014-10-17T00:54:06.3076620-04:00,2014-10-17T00:54:06.3076620-04:00
152,michelbabatunde,Michel Babatunde,,,1992-12-24,,,51,51,2014-10-17T00:54:06.3095210-04:00,2014-10-17T00:54:06.3095210-04:00
153,michaeluchebo,Michael Uchebo,,,1990-02-02,,,51,51,2014-10-17T00:54:06.3141830-04:00,2014-10-17T00:54:06.3141830-04:00
154,kawashima,Kawashima,Eiji Kawashima,,1983-03-20,,,60,60,2014-10-17T00:54:06.3183480-04:00,2014-10-17T00:54:06.3183480-04:00
155,nishikawa,Nishikawa,Shusaku Nishikawa,,1986-06-18,,,60,60,2014-10-17T00:54:06.3203820-04:00,2014-10-17T00:54:06.3203820-04:00
156,gonda,Gonda,ShÅ«ichi Gonda,,1989-03-03,,,60,60,2014-10-17T00:54:06.3221210-04:00,2014-10-17T00:54:06.3221210-04:00
157,inoha,Inoha,Masahiko Inoha,,1985-08-28,,,60,60,2014-10-17T00:54:06.3240850-04:00,2014-10-17T00:54:06.3240850-04:00
158,gsakai,G. Sakai,GÅtoku Sakai,,1991-03-14,,,60,60,2014-10-17T00:54:06.3263730-04:00,2014-10-17T00:54:06.3263730-04:00
159,nagatomo,Nagatomo,Yuto Nagatomo,,1986-09-12,,,60,60,2014-10-17T00:54:06.3280770-04:00,2014-10-17T00:54:06.3280770-04:00
160,uchida,Uchida,Atsuto Uchida,,1988-03-27,,,60,60,2014-10-17T00:54:06.3298580-04:00,2014-10-17T00:54:06.3298580-04:00
161,konno,Konno,Yasuyuki Konno,,1983-01-25,,,60,60,2014-10-17T00:54:06.3316350-04:00,2014-10-17T00:54:06.3316350-04:00
162,kurihara,Kurihara,Yuzo Kurihara,,1983-09-18,,,60,60,2014-10-17T00:54:06.3335430-04:00,2014-10-17T00:54:06.3335430-04:00
163,hsakai,H. Sakai,Hiroki Sakai,,1990-04-12,,,60,60,2014-10-17T00:54:06.3353530-04:00,2014-10-17T00:54:06.3353530-04:00
164,yoshida,Yoshida,Maya Yoshida,,1988-08-24,,,60,60,2014-10-17T00:54:06.3372040-04:00,2014-10-17T00:54:06.3372040-04:00
165,masatomorishige,Masato Morishige,,,1987-05-21,,,60,60,2014-10-17T00:54:06.3388750-04:00,2014-10-17T00:54:06.3388750-04:00
166,honda,Honda,Keisuke Honda,,1986-06-13,,,60,60,2014-10-17T00:54:06.3406080-04:00,2014-10-17T00:54:06.3406080-04:00
167,endo,EndÅ,Yasuhito EndÅ,,1980-01-28,,,60,60,2014-10-17T00:54:06.3424330-04:00,2014-10-17T00:54:06.3424330-04:00
168,hosogai,Hosogai,Hajime Hosogai,,1986-06-10,,,60,60,2014-10-17T00:54:06.3449030-04:00,2014-10-17T00:54:06.3449030-04:00
