Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Ariel Lassiter,LA,F,14,0,258,1,0,11,3,2,5,0,0,0
Oyvind Alseth,TOR,D,4,4,269,0,0,1,0,2,2,0,1,0
Sebastian Lletget,LA,M,3,3,270,0,0,2,0,2,3,0,0,0
Ashtone Morgan,TOR,D,5,3,283,1,0,1,1,2,2,0,1,0
Bashkim Kadrii,MIN,M-F,11,5,422,0,0,12,3,2,1,0,0,0
Victor Rodriguez,SEA,M,7,5,484,2,1,17,7,2,11,2,0,0
Dan Metzger,NYR,M,1,0,1,0,0,0,0,1,0,0,0,0
Harold Hanson,POR,D,1,0,1,0,0,0,0,1,0,0,0,0
Kyle Greig,VAN,F,1,0,2,0,0,0,0,1,0,0,0,0
Kevin Oliveira,KC,M,2,0,16,0,0,0,0,1,3,0,0,0
Joe Holland,HOU,M,5,0,22,0,0,1,0,1,1,0,0,0
James Sands,NYC,M,1,0,23,0,0,0,0,1,0,0,0,0
Tony Rocha,ORL,M,3,0,25,0,1,0,0,1,2,0,1,0
Kwame Awuah,NYC,M,4,0,26,0,0,0,0,1,0,0,0,0
David Arshakyan,CHI,F,7,0,27,0,0,1,0,1,1,0,1,0
Raul Mendiola,LA,M,4,0,36,0,0,0,0,1,1,0,0,0
Charlie Ward,HOU,M,1,0,45,0,0,0,0,1,0,0,0,0
Tyler Pasher,KC,M-D,1,1,45,0,0,0,0,1,0,0,0,0
Igor Juliao,KC,D,1,1,45,0,0,2,1,1,2,0,1,0
Brian Wright,NE,F,2,0,45,0,0,0,0,1,0,0,0,0
Brian Carroll,PHI,M,1,0,45,0,0,0,0,1,3,0,0,0
Brandt Bronico,CHI,M,4,0,53,0,0,0,0,1,0,0,0,0
Bruno Miranda,DC,F,5,0,53,0,0,1,0,1,1,0,0,0
John Stertzer,NYC,M,5,0,53,0,0,0,0,1,0,0,0,0
Rafael Ramos,CHI,D,2,1,55,0,0,1,0,1,0,0,0,1
Chad Barrett,RSL,F,3,0,65,0,0,3,1,1,1,0,0,0
John Goossens,CHI,M,1,1,89,0,0,2,0,1,0,0,1,0
Justin Bilyeu,NYR,D,1,1,90,0,0,1,0,1,1,0,0,0
Maxim Tissot,DC,D,1,1,90,0,0,0,0,1,0,0,0,0
Henry Wingo,SEA,M,11,0,132,0,0,3,0,1,1,1,0,0
Paxton Pomykal,DAL,M,2,2,140,0,0,1,0,1,2,0,0,0
Dilly Duka,CLB,M,3,2,151,0,0,1,0,1,0,1,0,0
Jacob Peterson,ATL,F,10,1,165,3,0,7,3,1,2,0,0,0
London Woodberry,NE,D,3,2,165,0,0,0,0,1,1,0,0,0
Reagan Dunk,RSL,D,3,2,174,0,0,0,0,1,1,0,0,0
Ben Spencer,TOR,F,3,2,179,0,2,7,0,1,0,0,0,0
Calum Mallace,LAFC,M,7,4,298,0,0,5,1,1,1,0,0,0
Pele van Anholt,LA,D,5,5,357,0,0,2,1,1,3,0,0,0
