Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Benjamin Benditson,LA,D,1,0,21,0,0,0,0,0/0,0.0,0.0
Lucio Filomeno,DC,F,1,0,22,0,0,0,0,0/0,0.0,0.0
Ricardo Phillips,NE,M-F,4,0,34,0,0,0,0,0/0,0.0,0.0
Luke Vercollone,NE,M,3,0,35,0,0,0,0,0/0,0.0,0.0
Milton Blanco,CHV,M-F,5,0,40,0,0,0,0,0/0,0.0,0.0
Michael Lookingland,RSL,D,1,1,90,0,0,0,0,0/0,0.0,0.0
Leonard Griffin,CHI,D,3,2,151,0,0,0,0,0/0,0.0,0.0
Wes Hart,SJ,D-M,7,1,175,0,0,0,0,0/0,0.0,0.0
Philip Salyer,DAL,D,2,2,180,0,0,0,0,0/0,0.0,0.0
Manny Lagos,CLB,M,5,2,187,0,1,0,0,0/0,0.0,0.0
Jason Hernandez,MET,D,3,3,268,0,0,0,0,0/0,0.0,0.0
Ryan Kelly,CLB,D,7,3,296,0,0,0,0,0/0,0.0,0.0
Cameron Knowles,RSL,D,4,3,346,0,0,0,0,0/0,0.0,0.0
Gustavo Cabrera,RSL,D,4,4,360,0,1,0,0,0/0,0.0,0.0
Stephen Herdsman,CLB,D,7,7,467,0,0,0,0,0/0,0.0,0.0
Marlon Rojas,RSL,D-M,7.0,6.0,507.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0
Avery John,NE,D,14.0,13.0,1167.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0
Robin Fraser,CLB,D,29.0,29.0,2607.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0
Michael Parkhurst,ATL,D,32.0,32.0,2880.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0
Alexandre Boucicaut,nan,M,nan,nan,nan,nan,nan,nan,nan,/,0.0,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
